ATM,Sitio,CR,Division,Marca,Tipo dispositivo,Estatus dispositivo,Calle,Num. Ext.,Estado,Ciudad,CP,Del/Muni,Colonia,Latitud,Longitud,Tipo localidad,IDC,ETV
548,KALTEX APPAREL,6062,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,CARR AMEALCO CORONEO,KM 6,QUERETARO,AMEALCO DE BONFIL,76850,AMEALCO DE BONFIL,SAN JUAN DEHEDO,20.204439,-99.9998762,REM,DIEBOLD,SEPSA
549,ERMITA LA VIGA,4103,METROPOLITANA SUR,WINCOR,DISPENSADOR,ACTIVO,CALZ ERMITA IZTAPALAPA,560,DISTRITO FEDERAL,CIUDAD DE MEXICO,9099,IZTAPALAPA,MEXICALTZINGO,19.3580103,-99.1213613,SUC,WINCOR,APODERADO
550,AGRICOLA ORIENTAL,348,METROPOLITANA SUR,WINCOR,PRACTDUAL,ACTIVO,CALZ IGNACIO ZARAGOZA,1086,DISTRITO FEDERAL,CIUDAD DE MEXICO,8100,IZTACALCO,AGRICOLA PANTITLAN,19.397129,-99.122923,SUC,WINCOR,APODERADO
553,PROPIMEX FRESNO,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,CALLE DEL FRESNO,328,DISTRITO FEDERAL,CIUDAD DE MEXICO,6450,CUAUHTEMOC,ATLAMPA,19.4566394,-99.159805,REM,DIEBOLD,SEPSA
554,PROPIMEX BENITO JUAREZ,6062,METROPOLITANA SUR,WINCOR,DISPENSADOR,ACTIVO,BENITO JUAREZ,5,ESTADO DE MEXICO,LOS REYES ACAQUILPAN (LA PAZ),56400,LA PAZ,TECAMACHALCO,19.3581218,-98.9590375,REM,WINCOR,SEPSA
555,PLAZA ORIENTE,43,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV CANAL DE TEZONTLE,1520 LOCAL 3 C,DISTRITO FEDERAL,CIUDAD DE MEXICO,9020,IZTAPALAPA,ALFONSO ORTIZ TIRADO,19.3845434,-99.0789101,SUC,DIEBOLD,APODERADO
556,HOTEL SAN FELIPE BEACH CLUB,6062,NOROESTE,WINCOR,DISPENSADOR,ACTIVO,CTRA FEDERALO,5 KM 176 5,BAJA CALIFORNIA,SAN FELIPE,21850,MEXICALI,EL DORADO RANCHO,31.0172054,-114.8374606,REM,WINCOR,SEPSA
557,PLAZA CRYSTAL VERACRUZ,6062,SUR,GRG,DISPENSADOR,ACTIVO,AV. SALVADOR D�AZ MIRON,S/N,VERACRUZ,VERACRUZ,91940,VERACRUZ,FLORESTA,19.5393907,-96.90616477,REM,GRG,SEPSA
558,HOSPITAL PANUCO,6062,SUR,WINCOR,DISPENSADOR,ACTIVO,MORELOS,2,VERACRUZ,PANUCO,93996,PANUCO,ALTO DE VI�AS,22.0517768,-98.180903,REM,WINCOR,SEPSA
559,CONALEP PLANTEL LERMA,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,JUAN ALDAMA,10,ESTADO DE MEXICO,LERMA,52000,LERMA,LERMA DE VILLADA CENTRO,19.29387599,-99.51711877,REM,GRG,SEPSA
560,LORETO OFICINA PRINCIPAL,5318,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,C FCO I MADERO,SN,BAJA CALIFORNIA SUR,LORETO,23880,LORETO,CENTRO,26.010715,-111.342222,SUC,DIEBOLD,APODERADO
561,POZA RICA OBRERA,542,SUR,GRG,DISPENSADOR,ACTIVO,AV 4 NORTE,32,VERACRUZ,POZA RICA DE HIDALGO,93260,POZA RICA DE HIDALGO,OBRERA,20.527465,-97.461517,SUC,GRG,APODERADO
562,JUGOMEX,6062,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,CTRA FEDERAL 16 GUERRERO CHIHUAHUA,SN,CHIHUAHUA,GUERRERO,31680,GUERRERO,CIUDAD GUERREO CENTRO,28.4349414,-107.3760979,REM,DIEBOLD,SEPSA
563,SERVICIOS DE SALUD JALISCO,6062,OCCIDENTE,WINCOR,DISPENSADOR,ACTIVO,DR BAEZA ALZAGA,107,JALISCO,GUADALAJARA,44100,GUADALAJARA,GUADALAJARA CENTRO,20.6789303,-103.3422595,REM,WINCOR,SEPSA
564,SOR JUANA,103,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,SOR JUANA INES DE LA CRUZ,314,ESTADO DE MEXICO,TLALNEPANTLA DE BAZ,54020,TLALNEPANTLA DE BAZ,LAS ROSAS,19.5394665,-99.2091599,SUC,DIEBOLD,APODERADO
565,HOTEL OCCIDENTAL GRAND FLAMENCO XCARE,6062,SURESTE,WINCOR,DISPENSADOR,ACTIVO,CTRA FEDERAL CANCUN TULUM,SN,QUINTANA ROO,PLAYA DEL CARMEN,77710,SOLIDARIDAD,XCARET,20.5809134,-87.119698,REM,WINCOR,SEPSA
566,NUEVA ROSITA,5357,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,PRESIDENTE CARRANZA,104,COAHUILA,NUEVA ROSITA,26850,SAN JUAN DE SABINAS,COMERCIAL,27.9336452,-101.2258962,SUC,DIEBOLD,APODERADO
567,POZA RICA OBRERA,542,SUR,GRG,DISPENSADOR,ACTIVO,AV 4 NORTE,32,VERACRUZ,POZA RICA DE HIDALGO,93260,POZA RICA DE HIDALGO,OBRERA,20.527465,-97.461517,SUC,GRG,APODERADO
568,PROPIMEX DELFIN,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,DELFIN,18,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,54730,CUAUTITLAN IZCALLI,COMPLEJO INDUSTRIAL CUAMATLA,19.6638191,-99.1880392,REM,DIEBOLD,SEPSA
569,CONALEP PLANTEL IXTAPALUCA,6062,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,VICENTE GUERRERO,2,ESTADO DE MEXICO,IXTAPALUCA,56560,IXTAPALUCA,AYOTLA,19.319308,-98.932921,REM,GRG,SEPSA
570,CHRISTUS MUGUERZA CONCHITA,6062,NORESTE,GRG,DISPENSADOR,ACTIVO,AV 15 DE MAYO,1822,NUEVO LEON,MONTERREY,64040,MONTERREY,MARIA LUISA,25.6743176,-100.3378553,REM,GRG,SEPSA
571,SECRETARIA DE GOBERNACION,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,ABRAHAM GONZALEZ,48,DISTRITO FEDERAL,CIUDAD DE MEXICO,6600,CUAUHTEMOC,JUAREZ,19.4308207,-99.15311,REM,DIEBOLD,SEPSA
572,PEMEX EXPLORACION Y PRODUCCION REYNOSA,6062,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,BLVD CACAPULCO Y TAMAULIPAS N,1901,TAMAULIPAS,REYNOSA,88630,REYNOSA,RODRIGUEZ,26.077944,-98.2850161,REM,DIEBOLD,SEPSA
574,NUEVA ROSITA,5357,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,PRESIDENTE CARRANZA,104,COAHUILA,NUEVA ROSITA,26850,SAN JUAN DE SABINAS,COMERCIAL,27.9336452,-101.2258962,SUC,DIEBOLD,APODERADO
575,PROPIMEX TLALPAN,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,CALZ DE TLALPAN,3001,DISTRITO FEDERAL,CIUDAD DE MEXICO,4650,COYOACAN,SANTA URSULA COAPA,19.3144198,-99.1408997,REM,DIEBOLD,SEPSA
576,PLAZA SENDERO CHIHUAHUA,1474,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV DE LAS INDUSTRIAS,SN,CHIHUAHUA,CHIHUAHUA,31136,CHIHUAHUA,COMPLEJO INDUSTRIAL CHIHUAHUA,28.723142,-106.112901,SUC,DIEBOLD,APODERADO
577,NUEVA ROSITA,5357,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,PRESIDENTE CARRANZA,104,COAHUILA,NUEVA ROSITA,26850,SAN JUAN DE SABINAS,COMERCIAL,27.9336452,-101.2258962,SUC,DIEBOLD,APODERADO
578,DURANGO 20 DE NOVIEMBRE,240,NORESTE,NCR,DISPENSADOR,ACTIVO,AV. 20 DE NOVIEMBRE,604 A,DURANGO,VICTORIA DE DURANGO,34000,DURANGO,CENTRO,24.027384,-104.656522,SUC,NCR,APODERADO
579,BARCEL,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,CTRA MEXICO TOLUCA,KM 54,ESTADO DE MEXICO,LERMA,52000,LERMA,INDUSTRIAL LERMA,19.2872547,-99.5513205,REM,DIEBOLD,SEPSA
580,PLAZA SENDERO CHIHUAHUA,1474,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV DE LAS INDUSTRIAS,SN,CHIHUAHUA,CHIHUAHUA,31136,CHIHUAHUA,COMPLEJO INDUSTRIAL CHIHUAHUA,28.723142,-106.112901,SUC,DIEBOLD,APODERADO
581,JALAPA TABASCO,5848,SURESTE,GRG,DISPENSADOR,ACTIVO,ANICETO CALCANEO,SN,TABASCO,PARAISO,86600,PARAISO,CENTRO,17.72025853,-92.81120019,SUC,GRG,APODERADO
582,AV 16 DE SEPTIEMBRE,414,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV 16 DE SEPTIEMBRE,500 A,JALISCO,GUADALAJARA,44100,GUADALAJARA,GUADALAJARA CENTRO,20.669446,-103.34772,SUC,DIEBOLD,APODERADO
583,LEON PARQUE HIDALGO,475,BAJIO,WINCOR,PRACTDUAL,ACTIVO,BLVD ADOLFO LOPEZ MATEOS PONIENTE,1008,GUANAJUATO,LEON DE LOS ALDAMA,37320,LEON,INDUSTRIAL,21.1322126,-101.6879933,SUC,WINCOR,APODERADO
584,LA CRUZ,3553,METROPOLITANA SUR,DIEBOLD,PRACTDUAL,ACTIVO,AV ALVARO OBREGON,1415,DISTRITO FEDERAL,CIUDAD DE MEXICO,10800,MAGDALENA CONTRERAS,LA CRUZ,19.3054739,-99.2355293,SUC,DIEBOLD,APODERADO
585,RIO ATOTONILCO,417,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,RIO ATOTONILCO,1587,JALISCO,GUADALAJARA,44870,GUADALAJARA,ATLAS,20.641249,-103.329982,SUC,DIEBOLD,APODERADO
586,CANCUN OFICINA PRINCIPAL,5764,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV TULUM,20,QUINTANA ROO,CANCUN,77500,BENITO JUAREZ,CENTRO,21.159772,-86.824933,SUC,DIEBOLD,APODERADO
587,MUNICIPIO DE CONKAL,6062,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,22,S/N,YUCATAN,CONKAL,97345,CONKAL,CONKAL,21.0723322,-89.5291848,REM,DIEBOLD,SEPSA
588,GUADALUPE VICTORIA,5435,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV JESUS AGUSTIN CASTRO,303,DURANGO,GUADALUPE VICTORIA,34700,GUADALUPE VICTORIA,CENTRO,24.4462999,-104.1236222,SUC,DIEBOLD,APODERADO
589,ALPURA CUAUTITLAN IZCALLI,6062,METROPOLITANA NORTE,NCR,PRACTDUAL,ACTIVO,AUTOPISTA MEXICO QUERETARO,KM 37 4,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,54730,CUAUTITLAN IZCALLI,PARQUE INDUSTRIAL CUAMATLA,19.665029,-99.200619,REM,NCR,SEPSA
590,LA CRUZ,3553,METROPOLITANA SUR,DIEBOLD,PRACTDUAL,ACTIVO,AV ALVARO OBREGON,1415,DISTRITO FEDERAL,CIUDAD DE MEXICO,10800,MAGDALENA CONTRERAS,LA CRUZ,19.3054739,-99.2355293,SUC,DIEBOLD,APODERADO
591,PRICE SHOES QUERETARO,6062,BAJIO,NCR,DISPENSADOR,ACTIVO,AV EL SOL,1,QUERETARO,QUERETARO,76113,QUERETARO,EL SOL,20.5995858,-100.4330639,REM,NCR,SEPSA
592,GUADALUPE VICTORIA,5435,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV JESUS AGUSTIN CASTRO,303,DURANGO,GUADALUPE VICTORIA,34700,GUADALUPE VICTORIA,CENTRO,24.4462999,-104.1236222,SUC,DIEBOLD,APODERADO
593,IMSS MORELOS,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV PLAN DE AYALA,1201,MORELOS,CUERNAVACA,62450,CUERNAVACA,CHAPULTEPEC,18.9221796,-99.2061741,REM,DIEBOLD,SEPSA
594,DELEGACION GUSTAVO A MADERO,6062,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,05 DE FEBRERO,SN,DISTRITO FEDERAL,CIUDAD DE MEXICO,7050,GUSTAVO A MADERO,VILLA GUSTAVO A MADERO,19.4833015,-99.1082647,REM,WINCOR,SEPSA
595,LEON PARQUE HIDALGO,475,BAJIO,WINCOR,PRACTDUAL,ACTIVO,BLVD ADOLFO LOPEZ MATEOS PONIENTE,1008,GUANAJUATO,LEON DE LOS ALDAMA,37320,LEON,INDUSTRIAL,20.51964787,-100.8274239,SUC,WINCOR,APODERADO
596,COSAMALOAPAN,5920,SUR,DIEBOLD,DISPENSADOR,ACTIVO,RUIZ CORTINEZ,400,VERACRUZ,COSAMALOAPAN,95395,COSAMALOAPAN DE CARPIO,CENTRO,18.364214,-95.796022,SUC,DIEBOLD,APODERADO
597,MONTERREY GUERRERO,4302,NORESTE,GRG,DISPENSADOR,ACTIVO,LADRON DE GUEVARA,275,NUEVO LEON,MONTERREY,64500,MONTERREY,DEL NORTE,25.71238,-100.30778,SUC,GRG,APODERADO
598,GATORADE IZCALLI,6062,METROPOLITANA NORTE,NCR,DISPENSADOR,ACTIVO,AUTOPISTA MEXICO QUERETARO,KM 37.5,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,54730,CUAUTITLAN IZCALLI,COMPLEJO INDUSTRIAL CUAMATLA,19.6664792,-99.1986944,REM,NCR,SEPSA
599,HUIMANGUILLO CENTRO,4430,SURESTE,GRG,DISPENSADOR,ACTIVO,AV HIDALGO,334,TABASCO,HUIMANGUILLO,86400,HUIMANGUILLO,CENTRO,17.83634486,-93.39451542,SUC,GRG,APODERADO
600,TOMATLAN,5490,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,VENUSTIANO CARRANZA,50,JALISCO,TOMATLAN,48450,TOMATLAN,CENTRO,19.9433219,-105.2463522,SUC,DIEBOLD,APODERADO
601,AGRICOLA ORIENTAL,348,METROPOLITANA SUR,WINCOR,PRACTDUAL,ACTIVO,CALZ IGNACIO ZARAGOZA,1086,DISTRITO FEDERAL,CIUDAD DE MEXICO,8100,IZTACALCO,AGRICOLA PANTITLAN,19.397129,-99.122923,SUC,WINCOR,APODERADO
602,TOMATLAN,5490,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,VENUSTIANO CARRANZA,50,JALISCO,TOMATLAN,48450,TOMATLAN,CENTRO,19.9433219,-105.2463522,SUC,DIEBOLD,APODERADO
603,AMECAMECA,5075,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV FRAY MARTIN VALENCIA,11,ESTADO DE MEXICO,AMECAMECA,56900,AMECAMECA,CENTRO,19.1273098,-98.7702976,SUC,DIEBOLD,APODERADO
604,POZA RICA OBRERA,542,SUR,GRG,DISPENSADOR,ACTIVO,AV 4 NORTE,32,VERACRUZ,POZA RICA DE HIDALGO,93260,POZA RICA DE HIDALGO,OBRERA,20.527465,-97.461517,SUC,GRG,APODERADO
605,ZIMAPAN,5602,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,AV H COLEGIO MILITAR,5,HIDALGO,ZIMAPAN,42330,ZIMAPAN,CENTRO,20.7400038,-99.3825721,SUC,DIEBOLD,APODERADO
606,TIENDA GRAND NACIONES UNIDAS,6062,NORESTE,GRG,DISPENSADOR,ACTIVO,LIC. ZEFERNO FAJARDO LUNA,3310-C,TAMAULIPAS,CIUDAD VICTORIA,87018,VICTORIA,COLINAS DEL VALLE,23.770778,-99.17288,REM,GRG,SEPSA
607,CULHUACAN,3654,METROPOLITANA SUR,WINCOR,DISPENSADOR,ACTIVO,AV TAXQUE�A,2167,DISTRITO FEDERAL,CIUDAD DE MEXICO,9800,IZTAPALAPA,CULHUACAN,19.337902,-99.1099,SUC,WINCOR,APODERADO
608,ZIMAPAN,5602,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,AV H COLEGIO MILITAR,5,HIDALGO,ZIMAPAN,42330,ZIMAPAN,CENTRO,20.7400038,-99.3825721,SUC,DIEBOLD,APODERADO
609,ZIMAPAN,5602,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,AV H COLEGIO MILITAR,5,HIDALGO,ZIMAPAN,42330,ZIMAPAN,CENTRO,20.7400038,-99.3825721,SUC,DIEBOLD,APODERADO
610,CAPEJ PORFIRIO DIAZ EDIF J,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,CTRA OAXACA PTO ESCONDIDO OAX,KM 18,OAXACA,SAN BARTOLO COYOTEPEC,71295,SAN BARTOLO COYOTEPEC,REYES MANTECON,16.9095275,-96.7268141,REM,DIEBOLD,SEPSA
611,CHIMALHUACAN,3520,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV NEZAHUALCOYOTL,SN,ESTADO DE MEXICO,CHIMALHUACAN,56330,CHIMALHUACAN,CHIMALHUACAN,19.415682,-98.943479,SUC,GRG,APODERADO
612,CHIMALHUACAN,3520,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV NEZAHUALCOYOTL,SN,ESTADO DE MEXICO,CHIMALHUACAN,56330,CHIMALHUACAN,CHIMALHUACAN,19.415682,-98.943479,SUC,GRG,APODERADO
613,CHIMALHUACAN,3520,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV NEZAHUALCOYOTL,SN,ESTADO DE MEXICO,CHIMALHUACAN,56330,CHIMALHUACAN,CHIMALHUACAN,19.415682,-98.943479,SUC,GRG,APODERADO
614,DURANGO 20 DE NOVIEMBRE,240,NORESTE,NCR,PRACTDUAL,ACTIVO,AV. 20 DE NOVIEMBRE,604 A,DURANGO,VICTORIA DE DURANGO,34000,DURANGO,CENTRO,24.027384,-104.656522,SUC,NCR,APODERADO
615,TIENDA CHEDRAUI DURANGO,6062,NORESTE,GRG,DISPENSADOR,ACTIVO,NAZAS,612,DURANGO,VICTORIA DE DURANGO,34269,DURANGO,VERGEL DEL DESIERTO,24.020502,-104.645562,REM,GRG,SEPSA
616,AGRICOLA ORIENTAL,348,METROPOLITANA SUR,WINCOR,PRACTDUAL,ACTIVO,CALZ IGNACIO ZARAGOZA,1086,DISTRITO FEDERAL,CIUDAD DE MEXICO,8100,IZTACALCO,AGRICOLA PANTITLAN,19.397129,-99.122923,SUC,WINCOR,APODERADO
617,EL SALTO IBM,3908,OCCIDENTE,WINCOR,DISPENSADOR,ACTIVO,CTRA A EL CASTILLO,2200,JALISCO,EL SALTO,45680,EL SALTO,JARDIN INDUSTRIAL EL SALTO,20.5645,-103.293,SUC,WINCOR,APODERADO
618,POZA RICA OBRERA,542,SUR,GRG,DISPENSADOR,ACTIVO,AV 4 NORTE,32,VERACRUZ,POZA RICA DE HIDALGO,93260,POZA RICA DE HIDALGO,OBRERA,20.527465,-97.461517,SUC,GRG,APODERADO
619,MORELIA CHAPULTEPEC,5615,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV LAZARO CARDENAS,2050,MICHOACAN,MORELIA,58260,MORELIA,CHAPULTEPEC SUR,19.694742,-101.168257,SUC,DIEBOLD,APODERADO
620,MORELIA CHAPULTEPEC,5615,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV LAZARO CARDENAS,2050,MICHOACAN,MORELIA,58260,MORELIA,CHAPULTEPEC SUR,19.694742,-101.168257,SUC,DIEBOLD,APODERADO
621,MORELIA INDUSTRIA,5617,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV MADERO PONIENTE,1290,MICHOACAN,MORELIA,58010,MORELIA,MOLINO DE PARRAS,19.702209,-101.205534,SUC,DIEBOLD,APODERADO
622,DURANGO 20 DE NOVIEMBRE,240,NORESTE,NCR,PRACTDUAL,ACTIVO,AV. 20 DE NOVIEMBRE,604 A,DURANGO,VICTORIA DE DURANGO,34000,DURANGO,CENTRO,24.027384,-104.656522,SUC,NCR,APODERADO
623,MORELIA INDUSTRIA,5617,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV MADERO PONIENTE,1290,MICHOACAN,MORELIA,58010,MORELIA,MOLINO DE PARRAS,19.702209,-101.205534,SUC,DIEBOLD,APODERADO
624,ADELITAS CD. VICTORIA,1467,NORESTE,NCR,DISPENSADOR,ACTIVO,POLIGONOS 3 ENTRE CALLE COAHUILA Y ADOLFO LOPEZ,150,TAMAULIPAS,CIUDAD VICTORIA,87049,VICTORIA,LAS ADELITAS,23.7509633,-99.1566512,SUC,NCR,APODERADO
625,COSAMALOAPAN,5920,SUR,DIEBOLD,DISPENSADOR,ACTIVO,RUIZ CORTINEZ,400,VERACRUZ,COSAMALOAPAN,95395,COSAMALOAPAN DE CARPIO,CENTRO,18.364214,-95.796022,SUC,DIEBOLD,APODERADO
626,TEPEJI DEL RIO OCAMPO,5607,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,MELCHOR OCAMPO,19,HIDALGO,TEPEJI DEL RIO DE OCAMPO,42855,TEPEJI DEL RIO DE OCAMPO,NOXTONGO,19.907223,-99.340123,SUC,DIEBOLD,APODERADO
627,COSAMALOAPAN,5920,SUR,DIEBOLD,DISPENSADOR,ACTIVO,RUIZ CORTINEZ,400,VERACRUZ,COSAMALOAPAN,95395,COSAMALOAPAN DE CARPIO,CENTRO,18.364214,-95.796022,SUC,DIEBOLD,APODERADO
628,UNIVERSIDAD TECNOLOGICA DE HUEJOTZINGO,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,REAL A SAN MATEO,SN,PUEBLA,HUEJOTZINGO,74169,HUEJOTZINGO,SANTA ANA XALMIMILULCO,19.2088897,-98.3908269,REM,DIEBOLD,SEPSA
629,MEXICALI PLAZA PEDREGAL,5127,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,RUBELITA,1100,BAJA CALIFORNIA,MEXICALI,21395,MEXICALI,VALLE DEL PEDREGAL 2DA SECCION,32.580325,-115.365622,SUC,DIEBOLD,APODERADO
630,ADELITAS CD. VICTORIA,1467,NORESTE,NCR,DISPENSADOR,ACTIVO,POLIGONOS 3 ENTRE CALLE COAHUILA Y ADOLFO LOPEZ,150,TAMAULIPAS,CIUDAD VICTORIA,87049,VICTORIA,LAS ADELITAS,23.7509633,-99.1566512,SUC,NCR,APODERADO
631,UNIDAD DE ATENCI�N AL DERECHOHABIENTE TOLUCA ISSEMYM,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AV DR NICOLAS SAN JUAN SN EXR RANCHO CUAUHTEMOC,115,ESTADO DE MEXICO,TOLUCA,50010,TOLUCA,LA MAGDALENA,19.321038,-99.634163,REM,GRG,SEPSA
632,AT&T MEGACENTRO,6062,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,FILIBERTO GOMEZ,40 Y 42,ESTADO DE MEXICO,TLALNEPANTLA DE BAZ,54040,TLALNEPANTLA DE BAZ,INDUSTRIAL TLALNEPANTLA,19.5439055,-99.2037708,REM,WINCOR,SEPSA
633,HUAMANTLA JUAREZ,538,SUR,DIEBOLD,DISPENSADOR,ACTIVO,JUAREZ NORTE,208,TLAXCALA,HUAMANTLA,90500,HUAMANTLA,CENTRO,19.315754,-97.922535,SUC,DIEBOLD,APODERADO
634,POLICIA FEDERAL SONORA,6062,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,BLVD GARCIA MORELOS,243,SONORA,HERMOSILLO,83210,HERMOSILLO,EL LLANO,29.0949937,-111.0057625,REM,DIEBOLD,SEPSA
635,INSTITUTO DE ESPACIOS EDUCATIVOS DE VERACRUZ,6062,SUR,NCR,DISPENSADOR,ACTIVO,CARR FED XAL VER KM 1 9,SN,VERACRUZ,XALAPA,91190,XALAPA,FUENTES DE LAS ANIMAS,19.5191797,-96.8843749,REM,NCR,SEPSA
636,MAZATLAN CENTRO,5795,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,CALLE 21 DE MARZO,800,SINALOA,MAZATLAN,82000,MAZATLAN,CENTRO,23.200798,-106.421556,SUC,DIEBOLD,APODERADO
637,HUAMANTLA JUAREZ,538,SUR,DIEBOLD,DISPENSADOR,ACTIVO,JUAREZ NORTE,208,TLAXCALA,HUAMANTLA,90500,HUAMANTLA,CENTRO,19.315754,-97.922535,SUC,DIEBOLD,APODERADO
638,HUETAMO,5639,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV MADERO SUR,SN,MICHOACAN,HUETAMO DE NU�EZ,61940,HUETAMO,CENTRO,18.6226346,-100.900206,SUC,DIEBOLD,APODERADO
639,COAHUILA,3449,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,COAHUILA,216,DISTRITO FEDERAL,CIUDAD DE MEXICO,6700,CUAUHTEMOC,ROMA,19.410474,-99.166379,SUC,DIEBOLD,APODERADO
640,FIESTA AMERICANA VIADUCTO,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,VIADUCTO RIO DE LA PIEDAD,515,DISTRITO FEDERAL,CIUDAD DE MEXICO,8400,IZTACALCO,GRANJAS MEXICO,19.4031243,-99.158146,REM,DIEBOLD,SEPSA
641,HUETAMO,5639,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV MADERO SUR,SN,MICHOACAN,HUETAMO DE NU�EZ,61940,HUETAMO,CENTRO,18.6226346,-100.900206,SUC,DIEBOLD,APODERADO
642,ADELITAS CD. VICTORIA,1467,NORESTE,GRG,PRACTDUAL,ACTIVO,POLIGONOS 3 ENTRE CALLE COAHUILA Y ADOLFO LOPEZ,150,TAMAULIPAS,CIUDAD VICTORIA,87049,VICTORIA,LAS ADELITAS,23.7509633,-99.1566512,SUC,GRG,APODERADO
643,SMNYL MONTERREY,6062,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,AV PEDRO RAMIREZ VAZQUEZ,200,NUEVO LEON,SAN PEDRO GARZA GARCIA,66269,SAN PEDRO GARZA GARCIA,DEL VALLE SECT ORIENTE,25.641135,-100.31955,REM,DIEBOLD,SEPSA
644,CHIHUAHUA ZARCO,272,NOROESTE,NCR,DISPENSADOR,ACTIVO,CUAUHTEMOC,3201,CHIHUAHUA,CHIHUAHUA,31020,CHIHUAHUA,ZARCO,28.6283835,-106.0847079,SUC,NCR,APODERADO
645,ARKANA NORTE,897,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AUTOPISTA MEXICO QRO KM 302,SN,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,54763,CUAUTITLAN IZCALLI,SAN MARTIN TEPETLIXPAN,19.47226733,-99.19247045,SUC,GRG,APODERADO
646,SANTA ROSALIA,5314,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,ALVARO OBREGON,SN,BAJA CALIFORNIA SUR,SANTA ROSALIA,23920,MULEGE,CENTRO,27.3366267,-112.2691141,SUC,DIEBOLD,APODERADO
647,SANTA ROSALIA,5314,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,ALVARO OBREGON,SN,BAJA CALIFORNIA SUR,SANTA ROSALIA,23920,MULEGE,CENTRO,27.3366267,-112.2691141,SUC,DIEBOLD,APODERADO
648,HUANDACAREO MELCHOR OCAMPO,5648,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,MELCHOR OCAMPO,5,MICHOACAN,HUANDACAREO,58820,HUANDACAREO,CENTRO,19.989005,-101.276058,SUC,DIEBOLD,APODERADO
